PID,BaseAddress,RegionSize,Protection
664,0x00000000,0x7ffe0000,No Access
664,0x7FFE1000,0xa000,No Access
664,0x7FFEC000,0x80004000,No Access
768,0x00000000,0x7ffe0000,No Access
768,0x7FFE1000,0xa000,No Access
768,0x7FFEC000,0x80004000,No Access
876,0x00000000,0x7ffe0000,No Access
876,0x7FFE1000,0xa000,No Access
876,0x7FFEC000,0x80004000,No Access
900,0x00000000,0x7ffe0000,No Access
900,0x7FFE1000,0xa000,No Access
900,0x7FFEC000,0x80004000,No Access
904,0x00000000,0x7ffe0000,No Access
904,0x7FFE1000,0xa000,No Access
904,0x7FFEC000,0x80004000,No Access
1000,0x00000000,0x7ffe0000,No Access
1000,0x7FFE1000,0xa000,No Access
1000,0x7FFEC000,0x80004000,No Access
420,0x00000000,0x7ffe0000,No Access
420,0x7FFE1000,0xa000,No Access
420,0x7FFEC000,0x80004000,No Access
504,0x00000000,0x7ffe0000,No Access
504,0x7FFE1000,0xa000,No Access
504,0x7FFEC000,0x80004000,No Access
1084,0x00000000,0x7ffe0000,No Access
1084,0x7FFE1000,0xa000,No Access
1084,0x7FFEC000,0x80004000,No Access
1092,0x00000000,0x7ffe0000,No Access
1092,0x7FFE1000,0xa000,No Access
1092,0x7FFEC000,0x80004000,No Access
1100,0x00000000,0x7ffe0000,No Access
1100,0x7FFE1000,0xa000,No Access
1100,0x7FFEC000,0x80004000,No Access
1108,0x00000000,0x7ffe0000,No Access
1108,0x7FFE1000,0xa000,No Access
1108,0x7FFEC000,0x80004000,No Access
1184,0x00000000,0x7ffe0000,No Access
1184,0x7FFE1000,0xa000,No Access
1184,0x7FFEC000,0x80004000,No Access
1192,0x00000000,0x7ffe0000,No Access
1192,0x7FFE1000,0xa000,No Access
1192,0x7FFEC000,0x80004000,No Access
1328,0x00000000,0x7ffe0000,No Access
1328,0x7FFE1000,0xa000,No Access
1328,0x7FFEC000,0x80004000,No Access
1364,0x00000000,0x7ffe0000,No Access
1364,0x7FFE1000,0xa000,No Access
1364,0x7FFEC000,0x80004000,No Access
1380,0x00000000,0x7ffe0000,No Access
1380,0x7FFE1000,0xa000,No Access
1380,0x7FFEC000,0x80004000,No Access
1412,0x00000000,0x7ffe0000,No Access
1412,0x7FFE1000,0xa000,No Access
1412,0x7FFEC000,0x80004000,No Access
1460,0x00000000,0x7ffe0000,No Access
1460,0x7FFE1000,0xa000,No Access
1460,0x7FFEC000,0x80004000,No Access
1472,0x00000000,0x7ffe0000,No Access
1472,0x7FFE1000,0xa000,No Access
1472,0x7FFEC000,0x80004000,No Access
1736,0x00000000,0x7ffe0000,No Access
1736,0x7FFE1000,0xa000,No Access
1736,0x7FFEC000,0x80004000,No Access
1784,0x00000000,0x7ffe0000,No Access
1784,0x7FFE1000,0xa000,No Access
1784,0x7FFEC000,0x80004000,No Access
1796,0x00000000,0x7ffe0000,No Access
1796,0x7FFE1000,0xa000,No Access
1796,0x7FFEC000,0x80004000,No Access
1804,0x00000000,0x7ffe0000,No Access
1804,0x7FFE1000,0xa000,No Access
1804,0x7FFEC000,0x80004000,No Access
1812,0x00000000,0x7ffe0000,No Access
1812,0x7FFE1000,0xa000,No Access
1812,0x7FFEC000,0x80004000,No Access
1936,0x00000000,0x7ffe0000,No Access
1936,0x7FFE1000,0xa000,No Access
1936,0x7FFEC000,0x80004000,No Access
1960,0x00000000,0x7ffe0000,No Access
1960,0x7FFE1000,0xa000,No Access
1960,0x7FFEC000,0x80004000,No Access
1972,0x00000000,0x7ffe0000,No Access
1972,0x7FFE1000,0xa000,No Access
1972,0x7FFEC000,0x80004000,No Access
2044,0x00000000,0x7ffe0000,No Access
2044,0x7FFE1000,0xa000,No Access
2044,0x7FFEC000,0x80004000,No Access
2080,0x00000000,0x7ffe0000,No Access
2080,0x7FFE1000,0xa000,No Access
2080,0x7FFEC000,0x80004000,No Access
2112,0x00000000,0x7ffe0000,No Access
2112,0x7FFE1000,0xa000,No Access
2112,0x7FFEC000,0x80004000,No Access
2156,0x00000000,0x7ffe0000,No Access
2156,0x7FFE1000,0xa000,No Access
2156,0x7FFEC000,0x80004000,No Access
2220,0x00000000,0x7ffe0000,No Access
2220,0x7FFE1000,0xa000,No Access
2220,0x7FFEC000,0x80004000,No Access
2400,0x00000000,0x7ffe0000,No Access
2400,0x7FFE1000,0xa000,No Access
2400,0x7FFEC000,0x80004000,No Access
2408,0x00000000,0x7ffe0000,No Access
2408,0x7FFE1000,0xa000,No Access
2408,0x7FFEC000,0x80004000,No Access
2452,0x00000000,0x7ffe0000,No Access
2452,0x7FFE1000,0xa000,No Access
2452,0x7FFEC000,0x80004000,No Access
2460,0x00000000,0x7ffe0000,No Access
2460,0x7FFE1000,0xa000,No Access
2460,0x7FFEC000,0x80004000,No Access
2616,0x00000000,0x7ffe0000,No Access
2616,0x7FFE1000,0xa000,No Access
2616,0x7FFEC000,0x80004000,No Access
2780,0x00000000,0x7ffe0000,No Access
2780,0x7FFE1000,0xa000,No Access
2780,0x7FFEC000,0x80004000,No Access
2788,0x00000000,0x260000,No Access
2788,0x00273000,0xd000,No Access
2788,0x0029F000,0x1000,No Access
2788,0x003A4000,0xc000,No Access
2788,0x003B1000,0xf000,No Access
2788,0x003C2000,0xe000,No Access
2788,0x003E1000,0xf000,No Access
2788,0x003F3000,0xd000,No Access
2788,0x00611000,0xf000,No Access
2788,0x0062D000,0x3000,No Access
2788,0x00632000,0xe000,No Access
2788,0x0080E000,0x2000,No Access
2788,0x00821000,0xf000,No Access
2788,0x00841000,0xf000,No Access
2788,0x00852000,0x1e000,No Access
2788,0x00B78000,0x8000,No Access
2788,0x00D01000,0xf000,No Access
2788,0x00DD1000,0xf000,No Access
2788,0x00DE1000,0xf000,No Access
2788,0x00DFD000,0x3000,No Access
2788,0x00E01000,0xf000,No Access
2788,0x00E25000,0xb000,No Access
2788,0x00E31000,0xf000,No Access
2788,0x00E41000,0xf000,No Access
2788,0x00E51000,0xf000,No Access
2788,0x00E67000,0x9000,No Access
2788,0x00E93000,0xd000,No Access
2788,0x00EAD000,0x3000,No Access
2788,0x00EBD000,0x3000,No Access
2788,0x00EC1000,0xf000,No Access
2788,0x00EE1000,0xf000,No Access
2788,0x00F00000,0x100000,No Access
2788,0x01101000,0x1ff000,No Access
2788,0x01400000,0x100000,No Access
2788,0x0183A000,0x6000,No Access
2788,0x01C8A000,0x6000,No Access
2788,0x02190000,0x7de50000,No Access
2788,0x7FFE1000,0xa000,No Access
2788,0x7FFEC000,0x80004000,No Access
2900,0x00000000,0x7ffe0000,No Access
2900,0x7FFE1000,0xa000,No Access
2900,0x7FFEC000,0x80004000,No Access
3036,0x00000000,0x7ffe0000,No Access
3036,0x7FFE1000,0xa000,No Access
3036,0x7FFEC000,0x80004000,No Access
2436,0x00000000,0x7ffe0000,No Access
2436,0x7FFE1000,0xa000,No Access
2436,0x7FFEC000,0x80004000,No Access
2228,0x00000000,0x7ffe0000,No Access
2228,0x7FFE1000,0xa000,No Access
2228,0x7FFEC000,0x80004000,No Access
3136,0x00000000,0x7ffe0000,No Access
3136,0x7FFE1000,0xa000,No Access
3136,0x7FFEC000,0x80004000,No Access
3176,0x00000000,0x7ffe0000,No Access
3176,0x7FFE1000,0xa000,No Access
3176,0x7FFEC000,0x80004000,No Access
3240,0x00000000,0x7ffe0000,No Access
3240,0x7FFE1000,0xa000,No Access
3240,0x7FFEC000,0x80004000,No Access
3248,0x00000000,0x7ffe0000,No Access
3248,0x7FFE1000,0xa000,No Access
3248,0x7FFEC000,0x80004000,No Access
3256,0x00000000,0x7ffe0000,No Access
3256,0x7FFE1000,0xa000,No Access
3256,0x7FFEC000,0x80004000,No Access
3296,0x00000000,0x7ffe0000,No Access
3296,0x7FFE1000,0xa000,No Access
3296,0x7FFEC000,0x80004000,No Access
3324,0x00000000,0x7ffe0000,No Access
3324,0x7FFE1000,0xa000,No Access
3324,0x7FFEC000,0x80004000,No Access
3356,0x00000000,0x7ffe0000,No Access
3356,0x7FFE1000,0xa000,No Access
3356,0x7FFEC000,0x80004000,No Access
3384,0x00000000,0x7ffe0000,No Access
3384,0x7FFE1000,0xa000,No Access
3384,0x7FFEC000,0x80004000,No Access
3408,0x00000000,0x550000,No Access
3408,0x00561000,0xf000,No Access
3408,0x0059F000,0x1000,No Access
3408,0x005E4000,0xc000,No Access
3408,0x005F3000,0xd000,No Access
3408,0x00902000,0xe000,No Access
3408,0x00921000,0xf000,No Access
3408,0x00941000,0xf000,No Access
3408,0x00953000,0xd000,No Access
3408,0x0096D000,0x3000,No Access
3408,0x00981000,0xf000,No Access
3408,0x00993000,0xd000,No Access
3408,0x009A8000,0x8000,No Access
3408,0x009B3000,0xd000,No Access
3408,0x009D1000,0xf000,No Access
3408,0x009F1000,0xf000,No Access
3408,0x00A12000,0xe000,No Access
3408,0x00A22000,0x1e000,No Access
3408,0x00A48000,0x8000,No Access
3408,0x00C1E000,0x142000,No Access
3408,0x00D61000,0x7f000,No Access
3408,0x00DE1000,0xf000,No Access
3408,0x00DF1000,0xf000,No Access
3408,0x00E01000,0xf000,No Access
3408,0x00E18000,0x8000,No Access
3408,0x00E97000,0x209000,No Access
3408,0x01421000,0xf000,No Access
3408,0x014F1000,0xf000,No Access
3408,0x01607000,0x9000,No Access
3408,0x01611000,0xf000,No Access
3408,0x01621000,0xf000,No Access
3408,0x01637000,0x9000,No Access
3408,0x01690000,0x10000,No Access
3408,0x019EA000,0x6000,No Access
3408,0x01C30000,0x72610000,No Access
3408,0x7424E000,0x2000,No Access
3408,0x7425B000,0x5000,No Access
3408,0x74306000,0xa000,No Access
3408,0x7435F000,0x1000,No Access
3408,0x7438B000,0x5000,No Access
3408,0x74412000,0xe000,No Access
3408,0x74433000,0xd000,No Access
3408,0x74459000,0x7000,No Access
3408,0x7457A000,0x6000,No Access
3408,0x74592000,0xe000,No Access
3408,0x745AB000,0x5000,No Access
3408,0x745BF000,0x1000,No Access
3408,0x745C8000,0x8000,No Access
3408,0x745E4000,0xc000,No Access
3408,0x7480F000,0x1000,No Access
3408,0x748D7000,0x9000,No Access
3408,0x74FCE000,0x2000,No Access
3408,0x75049000,0x17000,No Access
3408,0x752DC000,0x164000,No Access
3408,0x7545A000,0x446000,No Access
3408,0x7595A000,0x6000,No Access
3408,0x75B0A000,0x6000,No Access
3408,0x75D89000,0x7000,No Access
3408,0x75E94000,0x2c000,No Access
3408,0x75F5C000,0x4000,No Access
3408,0x765FB000,0x65000,No Access
3408,0x76750000,0x230000,No Access
3408,0x769A3000,0xd000,No Access
3408,0x76A72000,0xe000,No Access
3408,0x76A9A000,0x6000,No Access
3408,0x76B26000,0xda000,No Access
3408,0x76CC4000,0xc000,No Access
3408,0x76D52000,0xe000,No Access
3408,0x76E72000,0xe000,No Access
3408,0x76FD5000,0xb000,No Access
3408,0x77043000,0xd000,No Access
3408,0x77132000,0xe000,No Access
3408,0x7718B000,0x155000,No Access
3408,0x7735F000,0x1000,No Access
3408,0x7736A000,0x6000,No Access
3408,0x77522000,0x88ee000,No Access
3408,0x7FF19000,0x7000,No Access
3408,0x7FF22000,0xe000,No Access
3408,0x7FF41000,0xf000,No Access
3408,0x7FF52000,0xe000,No Access
3408,0x7FF61000,0x7f000,No Access
3408,0x7FFE1000,0xa000,No Access
3408,0x7FFEC000,0x4000,No Access
3424,0x00000000,0x7ffe0000,No Access
3424,0x7FFE1000,0xa000,No Access
3424,0x7FFEC000,0x80004000,No Access
3476,0x00000000,0x7ffe0000,No Access
3476,0x7FFE1000,0xa000,No Access
3476,0x7FFEC000,0x80004000,No Access
3576,0x00000000,0x7ffe0000,No Access
3576,0x7FFE1000,0xa000,No Access
3576,0x7FFEC000,0x80004000,No Access
3600,0x00000000,0x7ffe0000,No Access
3600,0x7FFE1000,0xa000,No Access
3600,0x7FFEC000,0x80004000,No Access
3624,0x00000000,0x7ffe0000,No Access
3624,0x7FFE1000,0xa000,No Access
3624,0x7FFEC000,0x80004000,No Access
3644,0x00000000,0x7ffe0000,No Access
3644,0x7FFE1000,0xa000,No Access
3644,0x7FFEC000,0x80004000,No Access
3656,0x00000000,0x7ffe0000,No Access
3656,0x7FFE1000,0xa000,No Access
3656,0x7FFEC000,0x80004000,No Access
3684,0x00000000,0x7ffe0000,No Access
3684,0x7FFE1000,0xa000,No Access
3684,0x7FFEC000,0x80004000,No Access
3736,0x00000000,0x7ffe0000,No Access
3736,0x7FFE1000,0xa000,No Access
3736,0x7FFEC000,0x80004000,No Access
4032,0x00000000,0x7ffe0000,No Access
4032,0x7FFE1000,0xa000,No Access
4032,0x7FFEC000,0x80004000,No Access
4572,0x00000000,0x7ffe0000,No Access
4572,0x7FFE1000,0xa000,No Access
4572,0x7FFEC000,0x80004000,No Access
4580,0x00000000,0x7ffe0000,No Access
4580,0x7FFE1000,0xa000,No Access
4580,0x7FFEC000,0x80004000,No Access
4916,0x00000000,0x7ffe0000,No Access
4916,0x7FFE1000,0xa000,No Access
4916,0x7FFEC000,0x80004000,No Access
4924,0x00000000,0xa00000,No Access
4924,0x00C13000,0xd000,No Access
4924,0x00C3F000,0x1000,No Access
4924,0x00CC4000,0xc000,No Access
4924,0x00CD3000,0xd000,No Access
4924,0x00CE2000,0xe000,No Access
4924,0x00D01000,0xf000,No Access
4924,0x00D21000,0xf000,No Access
4924,0x00D33000,0xd000,No Access
4924,0x00D4D000,0x3000,No Access
4924,0x00E1E000,0x2000,No Access
4924,0x00E31000,0xf000,No Access
4924,0x00E51000,0xf000,No Access
4924,0x00E62000,0xe000,No Access
4924,0x00E72000,0xe000,No Access
4924,0x00E84000,0xc000,No Access
4924,0x0101C000,0x4000,No Access
4924,0x01022000,0xe000,No Access
4924,0x01033000,0xd000,No Access
4924,0x01055000,0xb000,No Access
4924,0x01062000,0xe000,No Access
4924,0x01072000,0xe000,No Access
4924,0x0108B000,0x5000,No Access
4924,0x0109D000,0x3000,No Access
4924,0x010A8000,0x8000,No Access
4924,0x010B4000,0xc000,No Access
4924,0x010C1000,0xf000,No Access
4924,0x010D1000,0xf000,No Access
4924,0x010E1000,0xf000,No Access
4924,0x010F2000,0xe000,No Access
4924,0x01101000,0xf000,No Access
4924,0x014A1000,0xf000,No Access
4924,0x028B1000,0xf000,No Access
4924,0x028C7000,0x9000,No Access
4924,0x028E1000,0xf000,No Access
4924,0x028F1000,0xf000,No Access
4924,0x0292F000,0x1000,No Access
4924,0x02C7A000,0x6000,No Access
4924,0x02C8D000,0x3000,No Access
4924,0x02C9C000,0x4000,No Access
4924,0x02CA1000,0xf000,No Access
4924,0x02D31000,0xf000,No Access
4924,0x02D41000,0xf000,No Access
4924,0x02D55000,0xb000,No Access
4924,0x02D67000,0x9000,No Access
4924,0x02DD2000,0xe000,No Access
4924,0x02DE4000,0xc000,No Access
4924,0x02DF1000,0xf000,No Access
4924,0x02E01000,0xf000,No Access
4924,0x02E11000,0xf000,No Access
4924,0x02E21000,0xf000,No Access
4924,0x02E31000,0xf000,No Access
4924,0x02E43000,0xd000,No Access
4924,0x02E54000,0xc000,No Access
4924,0x02E62000,0xe000,No Access
4924,0x02E78000,0x8000,No Access
4924,0x02E8E000,0x2000,No Access
4924,0x02E91000,0xf000,No Access
4924,0x02EA1000,0xf000,No Access
4924,0x02F78000,0x8000,No Access
4924,0x02F84000,0xc000,No Access
4924,0x02F94000,0xc000,No Access
4924,0x02FE8000,0x8000,No Access
4924,0x02FF4000,0xc000,No Access
4924,0x03022000,0xe000,No Access
4924,0x03034000,0xc000,No Access
4924,0x03042000,0xe000,No Access
4924,0x030D2000,0xe000,No Access
4924,0x030E1000,0xf000,No Access
4924,0x03101000,0xf000,No Access
4924,0x03115000,0xb000,No Access
4924,0x03203000,0xd000,No Access
4924,0x03291000,0xf000,No Access
4924,0x032A2000,0xe000,No Access
4924,0x032B1000,0xf000,No Access
4924,0x032C1000,0xf000,No Access
4924,0x032D1000,0xf000,No Access
4924,0x032E1000,0xf000,No Access
4924,0x032F1000,0xf000,No Access
4924,0x03308000,0x8000,No Access
4924,0x03313000,0xd000,No Access
4924,0x033A1000,0x1f000,No Access
4924,0x033C8000,0x8000,No Access
4924,0x033D1000,0xf000,No Access
4924,0x033E3000,0xd000,No Access
4924,0x03409000,0x7000,No Access
4924,0x03812000,0xe000,No Access
4924,0x03823000,0xd000,No Access
4924,0x03835000,0xb000,No Access
4924,0x04AC5000,0xb000,No Access
4924,0x04ADD000,0x3000,No Access
4924,0x04AE1000,0xf000,No Access
4924,0x04AF3000,0xd000,No Access
4924,0x04B04000,0xc000,No Access
4924,0x04B11000,0xf000,No Access
4924,0x04B21000,0xf000,No Access
4924,0x04B31000,0xf000,No Access
4924,0x04BC4000,0xc000,No Access
4924,0x04C1B000,0x5000,No Access
4924,0x04C24000,0xc000,No Access
4924,0x04CD2000,0xe000,No Access
4924,0x04CE1000,0xf000,No Access
4924,0x04CF1000,0xf000,No Access
4924,0x04F01000,0xf000,No Access
4924,0x060F1000,0xf000,No Access
4924,0x06103000,0xd000,No Access
4924,0x06114000,0xc000,No Access
4924,0x06124000,0xc000,No Access
4924,0x06134000,0xc000,No Access
4924,0x06141000,0xf000,No Access
4924,0x06154000,0xc000,No Access
4924,0x06164000,0xc000,No Access
4924,0x06178000,0x8000,No Access
4924,0x06181000,0xf000,No Access
4924,0x06191000,0xf000,No Access
4924,0x061A1000,0xf000,No Access
4924,0x06231000,0xf000,No Access
4924,0x06241000,0xf000,No Access
4924,0x06353000,0x1d000,No Access
4924,0x06371000,0xf000,No Access
4924,0x06381000,0xf000,No Access
4924,0x06391000,0xf000,No Access
4924,0x063A1000,0xf000,No Access
4924,0x063B1000,0xf000,No Access
4924,0x06453000,0xd000,No Access
4924,0x06463000,0xd000,No Access
4924,0x06571000,0xf000,No Access
4924,0x06581000,0xf000,No Access
4924,0x06591000,0xf000,No Access
4924,0x065B1000,0xf000,No Access
4924,0x065C1000,0xf000,No Access
4924,0x0665A000,0x6000,No Access
4924,0x066E1000,0xf000,No Access
4924,0x066F1000,0xf000,No Access
4924,0x06883000,0xd000,No Access
4924,0x06912000,0xe000,No Access
4924,0x069A1000,0xf000,No Access
4924,0x069B1000,0xf000,No Access
4924,0x069C1000,0xf000,No Access
4924,0x06E51000,0xf000,No Access
4924,0x06E61000,0xf000,No Access
4924,0x06E71000,0x1f000,No Access
4924,0x06E93000,0xd000,No Access
4924,0x06EA3000,0xd000,No Access
4924,0x06EBD000,0x3000,No Access
4924,0x06EC3000,0xd000,No Access
4924,0x06FD1000,0xf000,No Access
4924,0x06FE4000,0xc000,No Access
4924,0x06FF2000,0xe000,No Access
4924,0x07001000,0xf000,No Access
4924,0x07011000,0xf000,No Access
4924,0x070A4000,0xc000,No Access
4924,0x070B3000,0xd000,No Access
4924,0x070C9000,0x7000,No Access
4924,0x07351000,0xf000,No Access
4924,0x07361000,0xf000,No Access
4924,0x07373000,0xd000,No Access
4924,0x07381000,0xf000,No Access
4924,0x07399000,0x7000,No Access
4924,0x073A1000,0xf000,No Access
4924,0x073B3000,0xd000,No Access
4924,0x07CCC000,0x4000,No Access
4924,0x07CD1000,0xf000,No Access
4924,0x07CE1000,0xf000,No Access
4924,0x07CF1000,0xf000,No Access
4924,0x07D01000,0xf000,No Access
4924,0x07D11000,0xf000,No Access
4924,0x07D22000,0xe000,No Access
4924,0x07D31000,0xf000,No Access
4924,0x07D44000,0xc000,No Access
4924,0x07D51000,0xf000,No Access
4924,0x07D63000,0xd000,No Access
4924,0x07D71000,0xf000,No Access
4924,0x07E86000,0xa000,No Access
4924,0x08054000,0xc000,No Access
4924,0x08061000,0xf000,No Access
4924,0x08086000,0xa000,No Access
